INFO 2026-01-07 18:32:21,393 autoreload Watching for file changes with StatReloader
INFO 2026-01-07 18:33:08,710 log "GET /api/albumes/ HTTP/1.1" 200 2
INFO 2026-01-07 18:33:09,476 log "GET /api/carpetas/ HTTP/1.1" 200 2
INFO 2026-01-07 18:33:09,552 log "GET /api/carpetas/ HTTP/1.1" 200 2
INFO 2026-01-07 18:33:10,382 log "GET /api/inventario-movimientos/ HTTP/1.1" 200 2
INFO 2026-01-07 18:33:10,392 log "GET /api/materiales/ HTTP/1.1" 200 2
INFO 2026-01-07 18:33:10,463 log "GET /api/inventario-movimientos/ HTTP/1.1" 200 2
INFO 2026-01-07 18:33:10,499 log "GET /api/materiales/ HTTP/1.1" 200 2
INFO 2026-01-07 18:33:10,897 log "GET /api/albumes/ HTTP/1.1" 200 2
INFO 2026-01-07 18:33:10,965 log "GET /api/albumes/ HTTP/1.1" 200 2
INFO 2026-01-07 18:33:22,194 log "POST /api/albumes/ HTTP/1.1" 201 152
INFO 2026-01-07 18:33:22,357 log "GET /api/albumes/ HTTP/1.1" 200 115
INFO 2026-01-07 18:33:24,622 log "OPTIONS /api/fotos/?album=1 HTTP/1.1" 200 0
INFO 2026-01-07 18:33:24,677 log "GET /api/fotos/?album=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:33:36,591 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:33:36,654 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:33:40,067 log "OPTIONS /api/proyectos/1/exportar_pdf/?mes_actual=true HTTP/1.1" 200 0
INFO 2026-01-07 18:33:40,296 log "GET /api/proyectos/1/exportar_pdf/?mes_actual=true HTTP/1.1" 200 2174
INFO 2026-01-07 18:33:48,172 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:33:48,181 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:33:48,196 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:33:48,284 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:33:48,317 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:33:48,319 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:33:54,205 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:33:54,212 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:33:54,232 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:33:54,320 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:33:54,350 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:33:54,375 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:33:59,519 log "GET /api/carpetas/ HTTP/1.1" 200 2
INFO 2026-01-07 18:33:59,574 log "GET /api/carpetas/ HTTP/1.1" 200 2
INFO 2026-01-07 18:34:02,403 log "GET /api/materiales/ HTTP/1.1" 200 2
INFO 2026-01-07 18:34:02,412 log "GET /api/inventario-movimientos/ HTTP/1.1" 200 2
INFO 2026-01-07 18:34:02,485 log "GET /api/inventario-movimientos/ HTTP/1.1" 200 2
INFO 2026-01-07 18:34:02,488 log "GET /api/materiales/ HTTP/1.1" 200 2
INFO 2026-01-07 18:34:20,587 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:34:20,601 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:34:20,613 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:34:20,726 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:34:20,732 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:34:20,746 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:35:09,796 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:09,807 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:35:09,827 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:35:09,911 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:09,923 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:35:09,963 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:35:11,691 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:11,851 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:12,261 log "GET /api/carpetas/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:12,329 log "GET /api/carpetas/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:13,937 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:35:13,937 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:35:13,940 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:35:14,045 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:35:14,092 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:35:14,109 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:35:41,579 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:41,591 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:35:41,605 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:35:41,677 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:41,708 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:35:41,743 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:35:43,876 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:43,942 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:47,163 log "GET /api/albumes/ HTTP/1.1" 200 115
INFO 2026-01-07 18:35:47,231 log "GET /api/albumes/ HTTP/1.1" 200 115
INFO 2026-01-07 18:35:50,024 log "GET /api/carpetas/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:50,100 log "GET /api/carpetas/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:52,649 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:35:52,669 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:35:52,687 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:35:52,783 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:35:52,804 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:35:52,833 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:35:56,577 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:35:56,583 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:35:56,594 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:56,675 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:35:56,709 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:35:56,718 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:58,206 log "GET /api/inventario-movimientos/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:58,216 log "GET /api/materiales/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:58,291 log "GET /api/inventario-movimientos/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:58,306 log "GET /api/materiales/ HTTP/1.1" 200 2
INFO 2026-01-07 18:35:59,693 log "GET /api/carpetas/ HTTP/1.1" 200 2
